Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Founded Year,Total Raised ($B),Financial Stage,Investors Count
Bio AI28,3.15,2026-01-01,China,Shenzhen,Fintech,"SoftBank Group, Andreessen Horowitz",2016,0.763,Series D,6
NexMind,6.06,2025-12-31,China,Shanghai,E-commerce & direct-to-consumer,Alibaba Group,2013,0.761,Series D,8
BioWave,2.62,2025-12-30,United Kingdom,Cambridge,Health,"Benchmark, Lightspeed Venture Partners",2016,0.648,Series D,17
PayShift,1.87,2025-12-19,China,Hangzhou,Internet software & services,"DST Global, Tiger Global Management, Alibaba Group",2018,0.893,Series D,18
Fin Labs82,8.04,2025-12-07,India,Gurugram,Health,"Tencent Holdings, Sequoia Capital, Alibaba Group, Kleiner Perkins Caufield & Byers",2020,3.76,Series D,13
Vertex AI,1.56,2025-11-29,United States,Austin,E-commerce & direct-to-consumer,"SoftBank Group, Y Combinator, Insight Partners",2013,0.778,Series C,8
Nex Networks99,2.71,2025-11-26,India,Bengaluru,Internet software & services,Sequoia Capital,2015,1.287,Series C,13
MetaCore,1.73,2025-11-24,United States,Boston,Health,Index Ventures,2017,0.69,Series D,6
Mind Base30,1.86,2025-11-21,United States,Austin,E-commerce & direct-to-consumer,"Kleiner Perkins Caufield & Byers, Thrive Capital, Alibaba Group, Sequoia Capital",2015,0.294,Series D,4
Cyber Hub,1.88,2025-11-18,India,Pune,Cybersecurity,"Alibaba Group, Index Ventures",2016,0.495,Series C,12
SmartLink,1.23,2025-11-17,United States,Boston,Data management & analytics,"Kleiner Perkins Caufield & Byers, Google Ventures, New Enterprise Associates, SoftBank Group",2018,0.504,Series D,18
Grid Systems46,1.16,2025-11-12,United States,San Francisco,Artificial intelligence,Thrive Capital,2015,0.199,Series E,6
CyberCore51,2.93,2025-11-11,China,Beijing,Artificial intelligence,SoftBank Group,2020,0.793,Series C,1
OmniFlow31,4.11,2025-11-11,United States,Seattle,Data management & analytics,Khosla Ventures,2019,1.905,Series C,14
CloudWave6,16.42,2025-11-11,China,Guangzhou,Fintech,Google Ventures,2017,6.763,Series E,1
Data Labs99,6.51,2025-11-11,India,Mumbai,Health,"Founders Fund, Thrive Capital",2014,1.363,Series E,14
Forge Dynamics,6.73,2025-11-10,United States,Seattle,Artificial intelligence,"Sequoia Capital, Alibaba Group, Founders Fund, Thrive Capital",2021,3.311,Series D,13
HealthShift58,5.05,2025-11-09,United States,Austin,Artificial intelligence,"Greylock Partners, Google Ventures, Tiger Global Management, DST Global",2022,1.497,Series E,14
AeroStream,1.49,2025-11-09,United States,San Francisco,Fintech,"Khosla Ventures, Bessemer Venture Partners, Tencent Holdings, Alibaba Group",2021,0.297,Private Equity,19
Aero Systems40,2.93,2025-10-31,United States,Chicago,Internet software & services,"Sequoia Capital, Google Ventures",2015,0.83,Series D,7
Grid Base,2.97,2025-10-31,Israel,Tel Aviv,Fintech,"New Enterprise Associates, Greylock Partners, Thrive Capital",2017,0.379,Series D,13
Flow Group41,2.98,2025-10-31,India,Bengaluru,Artificial intelligence,"Khosla Ventures, Y Combinator, DST Global",2019,0.888,Series D,15
Cyber AI92,1.39,2025-10-30,United States,Chicago,Hardware,"New Enterprise Associates, Greylock Partners, Alibaba Group, Coatue Management",2018,0.258,Series C,8
NexCore20,2.49,2025-10-28,India,Mumbai,Fintech,"Thrive Capital, Google Ventures",2018,0.65,Series F,4
Cyber Dynamics78,1.56,2025-10-27,United States,Palo Alto,Artificial intelligence,"Greylock Partners, Andreessen Horowitz",2022,0.55,Series D,12
Mind Technologies,14.96,2025-10-23,Brazil,Curitiba,E-commerce & direct-to-consumer,Index Ventures,2022,6.117,Series F,10
OmniForge69,12.23,2025-10-23,China,Shanghai,Fintech,"New Enterprise Associates, Google Ventures, Thrive Capital, Tiger Global Management",2020,1.257,Series F,12
Omni Hub33,1.11,2025-10-20,United States,San Francisco,Artificial intelligence,"Bessemer Venture Partners, Coatue Management, Benchmark, DST Global",2020,0.321,Series E,7
Stream AI3,4.31,2025-10-17,United States,San Francisco,E-commerce & direct-to-consumer,"Thrive Capital, Kleiner Perkins Caufield & Byers, Benchmark, Alibaba Group",2018,0.635,Series D,6
Forge Solutions91,2.55,2025-10-08,United States,Boston,Auto & transportation,Bessemer Venture Partners,2020,0.842,Series E,16
Fin Solutions81,1.95,2025-09-19,United States,Palo Alto,Internet software & services,"Bessemer Venture Partners, Khosla Ventures, Accel, DST Global",2018,0.766,Series E,5
Aero Solutions,1.56,2025-09-18,Australia,Melbourne,E-commerce & direct-to-consumer,"New Enterprise Associates, Sequoia Capital, SoftBank Group",2016,0.24,Pre-IPO,11
Cyber Dynamics36,2.12,2025-09-16,Germany,Berlin,Fintech,Accel,2020,0.259,Series C,12
CyberMind83,2.15,2025-09-16,United States,Chicago,Artificial intelligence,Benchmark,2021,0.513,Series C,6
Auto Systems,1.25,2025-09-07,China,Hangzhou,Internet software & services,Sequoia Capital,2013,0.267,Series E,16
Pay Networks,2.85,2025-09-03,China,Guangzhou,Fintech,"Thrive Capital, Founders Fund",2022,0.546,Private Equity,3
PayWave29,2.79,2025-09-02,United States,Seattle,Internet software & services,"Google Ventures, Accel, Khosla Ventures",2017,1.159,Series C,13
Omni Networks41,1.18,2025-09-01,Japan,Tokyo,Fintech,"Alibaba Group, General Atlantic, SoftBank Group, Tencent Holdings",2021,0.206,Series C,18
FinPulse44,1.69,2025-08-23,Sweden,Stockholm,Fintech,"DST Global, Index Ventures",2018,0.225,Series D,16
Omni Group,2.04,2025-08-20,Indonesia,Jakarta,Fintech,Index Ventures,2017,0.9,Series E,8
Aeroify,2.04,2025-08-20,United States,Boston,Travel,"Alibaba Group, SoftBank Group",2019,0.228,Series F,6
DataLink,1.98,2025-08-16,United States,Chicago,Cybersecurity,"Bessemer Venture Partners, Google Ventures, Y Combinator, SoftBank Group",2017,0.477,Series D,18
Omni Technologies32,2.43,2025-08-05,Sweden,Stockholm,Fintech,Bessemer Venture Partners,2018,0.78,Series E,3
Mind AI14,2.56,2025-08-03,Germany,Berlin,Fintech,"Andreessen Horowitz, Google Ventures, Index Ventures, Coatue Management",2016,0.416,Series D,15
Novaio67,1.42,2025-08-02,China,Shanghai,Artificial intelligence,"Benchmark, SoftBank Group, New Enterprise Associates, Andreessen Horowitz",2017,0.591,Series D,6
NexVertex32,2.3,2025-07-28,United States,San Francisco,Fintech,"Google Ventures, Thrive Capital, DST Global",2018,0.326,Series D,10
Wave Solutions50,2.21,2025-07-27,United Kingdom,London,Artificial intelligence,"Tencent Holdings, Thrive Capital, Benchmark, Tiger Global Management",2017,1.052,Series D,10
Wave Dynamics39,16.36,2025-07-23,United States,Palo Alto,"Supply chain, logistics, & delivery","Coatue Management, Index Ventures, Google Ventures, Tencent Holdings",2014,1.946,Series C,14
Zenith Technologies4,1.82,2025-07-22,Australia,Melbourne,Internet software & services,"Lightspeed Venture Partners, Benchmark",2015,0.512,Pre-IPO,15
DataFlow41,2.43,2025-07-22,United States,Palo Alto,Internet software & services,"Y Combinator, Founders Fund, Lightspeed Venture Partners, New Enterprise Associates",2021,0.618,Series C,10
Nova Hub,5.71,2025-07-16,United States,Palo Alto,Edtech,Tencent Holdings,2013,2.005,Series C,16
Stream Solutions,1.21,2025-07-16,China,Shenzhen,Fintech,"Benchmark, Accel, General Atlantic, Insight Partners",2014,0.143,Series B,4
Bio Base93,2.38,2025-07-13,Germany,Berlin,Fintech,General Atlantic,2017,0.358,Series D,2
MetaStream57,6.77,2025-07-08,China,Shenzhen,Health,Coatue Management,2013,0.747,Series D,5
Omni Dynamics36,4.48,2025-07-06,United States,Chicago,Data management & analytics,"Coatue Management, General Atlantic, Khosla Ventures",2015,0.937,Pre-IPO,13
NovaStream8,1.23,2025-06-28,United States,New York,Other,"Alibaba Group, Bessemer Venture Partners, Coatue Management, Sequoia Capital",2020,0.281,Series E,18
Bioio13,2.2,2025-06-24,United Kingdom,London,Health,"New Enterprise Associates, Alibaba Group",2021,0.508,Series C,12
Core Hub36,2.81,2025-06-19,United Kingdom,London,Internet software & services,"Benchmark, SoftBank Group",2022,0.433,Series C,14
Omni Systems,6.89,2025-06-10,United States,Austin,Internet software & services,"Tencent Holdings, DST Global",2022,1.176,Series D,17
Space Systems,4.87,2025-06-08,China,Hangzhou,Internet software & services,Alibaba Group,2016,1.381,Private Equity,8
OmniShift56,6.54,2025-06-05,United States,Los Angeles,Internet software & services,"General Atlantic, Thrive Capital, Coatue Management",2015,0.781,Series D,18
Forge Dynamics77,6.94,2025-06-03,United States,San Francisco,Auto & transportation,"New Enterprise Associates, Lightspeed Venture Partners, Khosla Ventures",2014,1.157,Series D,8
Linkify60,1.02,2025-06-02,United Kingdom,Cambridge,Fintech,"Thrive Capital, Alibaba Group, SoftBank Group",2022,0.221,Series D,15
TechWave,9.31,2025-05-29,United States,New York,Hardware,"Greylock Partners, General Atlantic, Y Combinator, Google Ventures",2013,1.037,Series D,9
Core Hub2,1.7,2025-05-28,United States,Boston,Fintech,"Benchmark, Greylock Partners",2019,0.46,Pre-IPO,9
Block AI97,1.35,2025-05-25,Israel,Jerusalem,"Supply chain, logistics, & delivery","Khosla Ventures, Founders Fund, Benchmark, Lightspeed Venture Partners",2016,0.354,Series D,5
Auto Labs17,4.45,2025-05-21,Japan,Tokyo,Other,"SoftBank Group, Bessemer Venture Partners, Greylock Partners",2016,1.114,Series F,14
PayBlock19,7.48,2025-05-19,China,Shenzhen,Artificial intelligence,"Coatue Management, Bessemer Venture Partners, Y Combinator, Google Ventures",2021,0.985,Series D,14
PaySpace63,1.79,2025-05-17,United States,Austin,Artificial intelligence,"Coatue Management, Kleiner Perkins Caufield & Byers, Alibaba Group, Bessemer Venture Partners",2013,0.693,Series C,16
Link Dynamics80,8.88,2025-05-09,Brazil,Curitiba,Internet software & services,"Alibaba Group, Index Ventures, Greylock Partners, Thrive Capital",2016,1.769,Private Equity,14
NexWave87,1.94,2025-05-08,United States,Los Angeles,Internet software & services,"DST Global, Index Ventures",2020,0.348,Series D,4
Wave Networks99,26.01,2025-05-03,France,Paris,Artificial intelligence,"New Enterprise Associates, Benchmark, Andreessen Horowitz",2018,6.061,Series D,16
Coreio,1.31,2025-04-30,India,New Delhi,Health,Greylock Partners,2015,0.29,Series F,7
Vertex Base15,5.57,2025-04-28,China,Shenzhen,Other,"Lightspeed Venture Partners, DST Global",2019,1.146,Pre-IPO,12
AutoStream,2.25,2025-04-25,India,Gurugram,E-commerce & direct-to-consumer,"Sequoia Capital, Benchmark, Tiger Global Management, Lightspeed Venture Partners",2013,0.701,Pre-IPO,9
Link Solutions99,1.21,2025-04-25,United States,Seattle,Artificial intelligence,"Y Combinator, Thrive Capital",2020,0.278,Series D,8
AutoForge57,12.22,2025-04-23,United States,Boston,Fintech,Founders Fund,2016,5.251,Series E,5
FinBlock33,39.97,2025-04-19,United States,New York,E-commerce & direct-to-consumer,"Lightspeed Venture Partners, Y Combinator, DST Global, Greylock Partners",2018,5.659,Series C,19
Vertex Hub,4.52,2025-04-18,China,Hangzhou,Data management & analytics,Sequoia Capital,2020,1.525,Series E,1
Cyberio83,9.18,2025-04-12,Singapore,Singapore,E-commerce & direct-to-consumer,"Founders Fund, Tiger Global Management, Insight Partners",2022,2.108,Series F,18
Bioly14,1.22,2025-04-10,China,Shanghai,E-commerce & direct-to-consumer,"Tencent Holdings, Insight Partners, Kleiner Perkins Caufield & Byers, Coatue Management",2022,0.265,Series C,8
Fin Dynamics,6.5,2025-04-06,United States,Chicago,Fintech,Google Ventures,2022,1.784,Series F,15
DataForge36,2.72,2025-03-30,China,Shenzhen,Health,"Insight Partners, Tencent Holdings, Kleiner Perkins Caufield & Byers",2019,1.251,Private Equity,15
Link Solutions74,1.32,2025-03-27,United States,Boston,Health,"Founders Fund, Benchmark, DST Global, Tencent Holdings",2018,0.224,Series D,14
DataStream34,1.16,2025-03-24,United States,San Francisco,Fintech,"Google Ventures, Bessemer Venture Partners, Coatue Management, Kleiner Perkins Caufield & Byers",2018,0.446,Series D,5
Forge Hub,1.62,2025-03-21,India,Pune,Health,"Greylock Partners, Sequoia Capital, Google Ventures, Andreessen Horowitz",2016,0.391,Series D,8
Pulse Systems,2.97,2025-03-18,United States,San Francisco,Other,"Thrive Capital, SoftBank Group, Tencent Holdings",2018,0.434,Series C,6
Payly52,1.49,2025-03-08,United States,Chicago,Hardware,"Benchmark, Y Combinator, Andreessen Horowitz, Tiger Global Management",2018,0.534,Series B,18
Smart Technologies1,23.29,2025-03-02,United States,Seattle,Artificial intelligence,"Khosla Ventures, Founders Fund",2016,7.682,Series C,17
Stream Group16,1.28,2025-02-26,South Korea,Seoul,Artificial intelligence,"Tiger Global Management, Khosla Ventures",2021,0.13,Series D,9
Tech Dynamics74,25.57,2025-02-22,Singapore,Singapore,Internet software & services,"New Enterprise Associates, Khosla Ventures, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners",2013,2.977,Private Equity,17
Aero Group50,1.23,2025-02-21,United States,Seattle,Artificial intelligence,"Khosla Ventures, Andreessen Horowitz, General Atlantic",2016,0.166,Series E,10
Linkly22,2.11,2025-02-18,China,Beijing,Artificial intelligence,"Sequoia Capital, Accel, Insight Partners, Tiger Global Management",2016,0.451,Series D,11
AutoPulse43,2.31,2025-02-08,China,Beijing,Internet software & services,"Tiger Global Management, Founders Fund, Coatue Management, Lightspeed Venture Partners",2015,0.25,Series D,8
Vertex Systems1,1.97,2025-02-06,China,Guangzhou,Edtech,"Accel, Khosla Ventures",2018,0.762,Series C,9
DataPulse,3.72,2025-02-01,United States,Chicago,Fintech,"Tencent Holdings, Google Ventures, Coatue Management",2020,0.474,Pre-IPO,3
Block Systems,2.62,2025-02-01,United Kingdom,Cambridge,Fintech,Andreessen Horowitz,2017,0.627,Series D,14
Smartify73,6.05,2025-01-31,China,Hangzhou,Data management & analytics,"Khosla Ventures, Andreessen Horowitz",2018,1.486,Series C,13
DataZenith,2.97,2025-01-31,United States,Palo Alto,Other,Founders Fund,2017,1.364,Series B,6
Spaceio,2.21,2025-01-30,India,Gurugram,Artificial intelligence,"Thrive Capital, Coatue Management",2018,0.668,Series C,10
SmartShift11,1.55,2025-01-25,United States,New York,Edtech,"Khosla Ventures, Benchmark, Greylock Partners",2014,0.288,Series B,11
Stream Technologies62,8.27,2025-01-25,Israel,Tel Aviv,Hardware,"Founders Fund, Alibaba Group",2018,2.493,Series D,15
Corely94,1.43,2025-01-22,United States,Austin,Fintech,"Sequoia Capital, Andreessen Horowitz, DST Global, Greylock Partners",2015,0.379,Series C,4
Shiftify,1.73,2025-01-22,United States,Palo Alto,E-commerce & direct-to-consumer,"Tiger Global Management, Thrive Capital, New Enterprise Associates",2016,0.304,Series C,18
AutoCore,1.62,2025-01-21,United States,San Francisco,E-commerce & direct-to-consumer,Google Ventures,2014,0.458,Pre-IPO,8
SmartBlock,2.05,2025-01-19,Canada,Vancouver,Hardware,Lightspeed Venture Partners,2016,1.012,Series D,2
Metaly88,1.32,2025-01-16,United States,New York,Hardware,"Thrive Capital, Tiger Global Management, DST Global, Index Ventures",2016,0.589,Series C,5
Flow Group43,28.74,2025-01-12,United States,Seattle,Health,Founders Fund,2020,11.616,Series F,5
PayWave19,1.58,2025-01-10,United Kingdom,Cambridge,Internet software & services,"Lightspeed Venture Partners, Accel, Founders Fund, Y Combinator",2017,0.278,Series C,9
Mind Labs,15.95,2025-01-06,Canada,Montreal,Data management & analytics,"Index Ventures, Y Combinator, Bessemer Venture Partners, Andreessen Horowitz",2013,7.72,Series D,7
NovaPulse39,2.45,2025-01-06,United States,Los Angeles,"Supply chain, logistics, & delivery","Founders Fund, Accel, Insight Partners",2020,0.322,Series B,11
Bio Base,2.09,2025-01-02,United States,Boston,Internet software & services,"General Atlantic, Google Ventures",2022,0.311,Series D,9
Core Technologies79,2.36,2024-12-29,South Korea,Seoul,E-commerce & direct-to-consumer,"Founders Fund, Alibaba Group, Sequoia Capital, General Atlantic",2014,1.049,Series F,16
OmniVertex25,1.13,2024-12-26,United States,Seattle,E-commerce & direct-to-consumer,"Tencent Holdings, Thrive Capital",2020,0.177,Series D,14
Aero AI,1.89,2024-12-21,South Korea,Seoul,Internet software & services,"SoftBank Group, Greylock Partners, Khosla Ventures",2019,0.55,Series D,10
Cyber Systems,25.35,2024-12-18,United States,Seattle,Other,"Founders Fund, SoftBank Group, Sequoia Capital",2014,10.11,Series E,8
SmartCore30,1.8,2024-12-13,United States,New York,Travel,"Greylock Partners, DST Global, Thrive Capital",2020,0.709,Series C,12
Flowly62,2.62,2024-12-11,Sweden,Stockholm,E-commerce & direct-to-consumer,General Atlantic,2019,0.881,Series E,8
Dataly63,2.82,2024-12-09,United States,Palo Alto,Data management & analytics,Y Combinator,2012,1.396,Series D,16
Auto AI20,1.78,2024-12-09,United Kingdom,Oxford,Travel,Index Ventures,2015,0.698,Series C,8
Smart Group85,2.54,2024-12-04,Australia,Melbourne,Fintech,"Khosla Ventures, Tiger Global Management",2020,0.526,Series E,14
SmartVertex,9.87,2024-12-02,Germany,Munich,Fintech,Tencent Holdings,2013,4.798,Series D,11
HealthFlow,1.24,2024-11-30,United States,San Francisco,Internet software & services,Y Combinator,2021,0.472,Series F,3
Cyber Labs,2.64,2024-11-29,United Kingdom,London,Other,"Sequoia Capital, Thrive Capital",2018,0.685,Series D,10
Pulse Solutions91,1.28,2024-11-25,United States,Los Angeles,Data management & analytics,"Index Ventures, Founders Fund",2014,0.207,Series E,3
NovaShift19,11.59,2024-11-16,United States,Los Angeles,Auto & transportation,New Enterprise Associates,2017,2.635,Series E,7
Shift Base13,1.33,2024-11-14,United States,Chicago,Data management & analytics,"Thrive Capital, Index Ventures, General Atlantic",2016,0.184,Series C,14
Omni Base,10.74,2024-11-10,United States,Palo Alto,Internet software & services,Insight Partners,2021,2.43,Series D,10
SmartVertex84,1.6,2024-11-09,Israel,Jerusalem,Internet software & services,"Thrive Capital, Bessemer Venture Partners, Tencent Holdings",2016,0.586,Series E,14
Tech Networks95,1.18,2024-11-09,United States,Palo Alto,Internet software & services,"General Atlantic, DST Global, Accel, Insight Partners",2013,0.337,Series D,4
Vertex Base9,1.01,2024-10-28,China,Hangzhou,Auto & transportation,Y Combinator,2013,0.479,Series F,12
Flow Hub,7.11,2024-10-27,France,Paris,Fintech,Kleiner Perkins Caufield & Byers,2015,2.788,Pre-IPO,7
Techio,1.34,2024-10-25,Sweden,Stockholm,E-commerce & direct-to-consumer,"Bessemer Venture Partners, General Atlantic, Tiger Global Management, Alibaba Group",2016,0.232,Series B,16
Grid Networks57,1.75,2024-10-24,United States,New York,Internet software & services,"Accel, Google Ventures, Insight Partners, Founders Fund",2016,0.459,Series D,11
FinMind45,1.44,2024-10-21,India,Gurugram,Artificial intelligence,"Y Combinator, SoftBank Group, Sequoia Capital, Kleiner Perkins Caufield & Byers",2016,0.467,Series E,13
Pay Base25,3.75,2024-10-21,Canada,Vancouver,Artificial intelligence,Coatue Management,2012,0.56,Series D,15
SmartShift,2.2,2024-10-20,Japan,Tokyo,E-commerce & direct-to-consumer,"SoftBank Group, Tencent Holdings",2018,0.244,Series D,11
HealthForge25,2.19,2024-10-18,United States,San Francisco,Fintech,"Accel, Alibaba Group, Bessemer Venture Partners",2014,0.765,Series E,17
HealthGrid,14.02,2024-10-14,United States,Chicago,E-commerce & direct-to-consumer,"Google Ventures, Founders Fund",2017,5.523,Series F,17
Aero Hub,24.35,2024-10-05,China,Guangzhou,Fintech,Y Combinator,2016,5.098,Series E,16
Omni AI40,1.26,2024-10-04,South Korea,Seoul,Internet software & services,"Khosla Ventures, SoftBank Group, Tiger Global Management, Sequoia Capital",2014,0.508,Series D,5
Gridio49,1.73,2024-09-30,United States,New York,Fintech,"Google Ventures, Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers",2015,0.417,Series D,14
DataPulse32,2.36,2024-09-29,United States,Palo Alto,Artificial intelligence,"Index Ventures, Andreessen Horowitz",2015,0.902,Series C,7
